hogar_alpes_pulsar  | 2026-09-21T04:27:59,552+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [[id: 0x8430c51b, L:/127.0.0.1:6650 - R:/127.0.0.1:33924]] Subscribing on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8. consumerId: 463
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Creating non-durable subscription at msg id 9223372036854775807:9223372036854775807:-1:-1 - {}
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.NonDurableCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Created non-durable cursor read-position=7:459 mark-delete-position=7:458
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedLedgerImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Opened new cursor: NonDurableCursorImpl{ledger=pulsar/standalone/localhost:8080/persistent/healthcheck, cursor=healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8, ackPos=7:458, readPos=7:459}
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.ManagedCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck-healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Rewind from 7:459 to 7:459
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck] Disabled replicated subscriptions controller
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentSubscription - backlog for persistent://pulsar/standalone/localhost:8080/healthcheck - 0
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created subscription on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8
hogar_alpes_pulsar  | 2026-09-21T04:27:59,553+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-56166a2a-9b71-47f5-add3-04c92ab96ce8] Subscribed to topic on localhost/127.0.0.1:6650 -- consumer: 463
hogar_alpes_pulsar  | 2026-09-21T04:27:59,565+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}][standalone-0-479] Closing producer on cnx /127.0.0.1:33924. producerId=461
